Facility Name,Address,Type of Facility,Direction,Postal Code,latitude,longitude
Casuarina Primary School Field,30 Pasir Ris Street 41 Singapore 518935,Free To Play Field,East,518935,1.32181250780475,103.865404167629
Casuarina Primary School Hall,30 Pasir Ris Street 41 Singapore 518935,School Sport Hall,East,518935,1.37246063927999,103.957020286115
Cedar Primary School Field,15 Cedar Avenue Singapore 349700,Free To Play Field,Central,349700,1.32181250780475,103.865404167629
Changkat Changi Secondary School Field,23 Simei Street 3 Singapore 529894,Free To Play Field,East,529894,1.30705061123433,103.886917922608
Changkat Changi Secondary School Hall,23 Simei Street 3 Singapore 529894,School Sport Hall,East,529894,1.30705061123433,103.886917922608
Changkat Primary School Hall,11 Simei Street 3 Singapore 529896,School Sport Hall,East,529896,1.34023163951633,103.952080114035
CHIJ St. Theresa's Convent Hall,160 Lower Delta Road Singapore 099138,School Sport Hall,Central,099138,1.32685566604543,103.881547155683
Choa Chu Kang ActiveSG Gym,1 Choa Chu Kang Street 53 Singapore 689236,Gym,West,689236,1.38555516336432,103.745261508747
Choa Chu Kang Outdoor Courts,1 Choa Chu Kang Street 53 Singapore 689236,N/A,West,689236,1.38555516336432,103.745261508747
Choa Chu Kang Primary School Field,20 Choa Chu Kang Ave 2 Singapore 689905,Free To Play Field,West,689905,1.38555516336432,103.745261508747
Choa Chu Kang Primary School Hall,20 Choa Chu Kang Ave 2 Singapore 689905,School Sport Hall,West,689905,1.38555516336432,103.745261508747
Choa Chu Kang Secondary School Campus 2 Field,3 Teck Whye Crescent Singapore 688845,School Field,West,688845,1.38555516336432,103.745261508747
Choa Chu Kang Sport Centre,1 Choa Chu Kang Street 53 Singapore 689236,Sport Centre,West,689236,1.39059559281482,103.748024129362
Choa Chu Kang Sport Hall,1 Choa Chu Kang Street 53 Singapore 689236,Sport Hall,West,689236,1.39077759998006,103.748046007795
Choa Chu Kang Stadium,1 Choa Chu Kang Street 53 Singapore 689236,Stadium,West,689236,1.39106762219463,103.748519100323
Choa Chu Kang Swimming Complex,1 Choa Chu Kang Street 53 Singapore 689236,Swimming Pool,West,689236,1.39119161951584,103.748445231769
Choa Chu Kang Tennis Centre,1 Choa Chu Kang Street 53 Singapore 689236,N/A,West,689236,1.39066617644636,103.747920705978
Clementi ActiveSG Gym,518 Clementi Avenue 3 Singapore 129907,Gym,Central,129907,1.3322292265707,103.720201115434
Clementi Primary School Hall,8 Clementi Avenue 3 Singapore 129903,School Sport Hall,Central,129903,1.31506321827875,103.763144493687
Clementi Sport Centre,518 Clementi Avenue 3 Singapore 129907,Sport Centre,Central,129907,1.31101498092681,103.764861406796
Clementi Sport Hall,518 Clementi Avenue 3 Singapore 129907,Sport Hall,Central,129907,1.31090218455153,103.765015887756
Clementi Stadium,10 West Coast Walk Singapore 127156,Stadium,Central,127156,1.30976459386266,103.76248856534
Clementi Swimming Complex,520 Clementi Avenue 3 Singapore 129908,Swimming Pool,Central,129908,1.31043876723266,103.765826626884
Clementi Swimming Complex - ActiveGroove Dance Zone,520 Clementi Avenue 3 Singapore 129908,N/A,Central,129908,1.3543257600466,103.850274859117
Clementi Town Secondary School Field,10 Clementi Avenue 3 Singapore 129904,School Field,Central,129904,1.30705061123433,103.886917922608
Clementi Town Secondary School Hall,10 Clementi Avenue 3 Singapore 129904,School Sport Hall,Central,129904,1.31335562013686,103.764945607638
Concord Primary School Hall,3 Choa Chu Kang Avenue 4 Singapore 689814,School Sport Hall,West,689814,1.38000806197242,103.736225440727
Crest Secondary School Field,561 Jurong East Street 24 Singapore 609561,School Field,West,609561,1.30705061123433,103.886917922608
Damai Secondary School Field,4800 Bedok Reservoir Road Singapore 479229,School Field,East,479229,1.30705061123433,103.886917922608
Dazhong Primary School Field,35 Bukit Batok Street 31 Singapore 659441,Free To Play Field,West,659441,1.32181250780475,103.865404167629
Dazhong Primary School Hall,35 Bukit Batok Street 31 Singapore 659441,School Sport Hall,West,659441,1.3591797447277,103.74847210784
